epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,193.58,0.68936,0.50672,0.94553,0.99077,1,0.995,0.81866,0.67814,0.63287,0.93241,0.00107675,0.00107675,0.00107675
44,197.959,0.66303,0.48682,0.92663,0.98744,0.997,0.995,0.83282,0.6623,0.56422,0.93778,0.00107263,0.00107263,0.00107263
45,202.312,0.67445,0.48175,0.93495,0.99241,1,0.995,0.83751,0.67466,0.50671,0.93762,0.0010685,0.0010685,0.0010685
46,206.652,0.69351,0.50452,0.94582,0.98785,1,0.995,0.83353,0.66132,0.52142,0.93182,0.00106437,0.00106437,0.00106437
47,211.003,0.6868,0.47613,0.9436,0.99518,0.9985,0.995,0.84036,0.64986,0.46279,0.93318,0.00106025,0.00106025,0.00106025
48,215.388,0.70139,0.49005,0.93788,0.99781,0.9964,0.99497,0.81745,0.68737,0.46551,0.94703,0.00105612,0.00105612,0.00105612
49,219.759,0.66923,0.46866,0.93176,0.99436,0.99858,0.99497,0.83425,0.66058,0.48132,0.93865,0.001052,0.001052,0.001052
50,224.014,0.65882,0.46819,0.93646,0.99625,1,0.995,0.82894,0.67546,0.4779,0.9398,0.00104787,0.00104787,0.00104787
51,228.322,0.66909,0.46386,0.93212,0.98662,1,0.995,0.84467,0.65182,0.46523,0.93787,0.00104375,0.00104375,0.00104375
52,232.677,0.66671,0.46211,0.93977,0.9904,0.99826,0.99429,0.83436,0.66253,0.50021,0.93855,0.00103962,0.00103962,0.00103962
53,237.015,0.66488,0.4445,0.93783,0.97975,0.99718,0.995,0.83188,0.67981,0.48759,0.95748,0.0010355,0.0010355,0.0010355
54,241.346,0.67343,0.45221,0.93699,0.9946,0.99994,0.995,0.83669,0.64334,0.42504,0.92882,0.00103138,0.00103138,0.00103138
55,245.699,0.67454,0.46065,0.93664,0.95913,0.9816,0.99397,0.82493,0.67966,0.49007,0.94371,0.00102725,0.00102725,0.00102725
56,250.146,0.66323,0.45095,0.93079,0.97895,0.96773,0.99472,0.81561,0.73359,0.50997,0.974,0.00102312,0.00102312,0.00102312
57,254.527,0.67973,0.45512,0.94414,0.99181,0.988,0.9941,0.84418,0.66488,0.49179,0.93145,0.001019,0.001019,0.001019
58,258.917,0.66736,0.44286,0.9331,0.9643,0.9696,0.99116,0.83439,0.67843,0.51939,0.93593,0.00101488,0.00101488,0.00101488
59,263.276,0.65717,0.42958,0.92641,0.99576,1,0.995,0.8448,0.64954,0.42838,0.9305,0.00101075,0.00101075,0.00101075
60,267.701,0.66642,0.42079,0.94159,0.99684,1,0.995,0.83486,0.66017,0.44011,0.92747,0.00100663,0.00100663,0.00100663
61,272.039,0.65061,0.42649,0.9369,0.96081,0.9845,0.99182,0.81889,0.6841,0.70848,0.94361,0.0010025,0.0010025,0.0010025
62,276.331,0.66048,0.42369,0.93117,0.99378,1,0.995,0.83949,0.65769,0.42122,0.92931,0.000998375,0.000998375,0.000998375
63,280.697,0.6584,0.41836,0.93299,0.99522,0.99869,0.995,0.82838,0.6731,0.41182,0.93975,0.00099425,0.00099425,0.00099425
64,285.102,0.6652,0.42687,0.94034,0.99361,0.99452,0.995,0.83216,0.66788,0.40612,0.93554,0.000990125,0.000990125,0.000990125
65,289.45,0.65585,0.40841,0.91999,0.92227,0.97929,0.99183,0.8186,0.68655,0.53289,0.94089,0.000986,0.000986,0.000986
66,293.802,0.63755,0.40725,0.92038,0.99447,0.99751,0.995,0.82188,0.66415,0.39304,0.934,0.000981875,0.000981875,0.000981875
67,298.203,0.65291,0.4237,0.9352,0.99244,1,0.995,0.83592,0.64307,0.41447,0.92925,0.00097775,0.00097775,0.00097775
68,302.595,0.65172,0.4265,0.93492,0.99369,1,0.995,0.84204,0.64081,0.38631,0.92784,0.000973625,0.000973625,0.000973625
69,306.915,0.65303,0.4113,0.93147,0.99761,1,0.995,0.84543,0.64014,0.37625,0.9299,0.0009695,0.0009695,0.0009695
70,311.248,0.65515,0.41275,0.92261,0.99606,0.99969,0.995,0.843,0.63357,0.35941,0.92823,0.000965375,0.000965375,0.000965375
71,315.57,0.6611,0.40716,0.9335,0.99693,1,0.995,0.84915,0.63653,0.37424,0.92335,0.00096125,0.00096125,0.00096125
72,319.938,0.65774,0.39943,0.9319,0.99702,1,0.995,0.84402,0.6378,0.36798,0.92343,0.000957125,0.000957125,0.000957125
73,324.34,0.6371,0.39324,0.93044,0.99641,0.99713,0.995,0.83634,0.67189,0.37483,0.9362,0.000953,0.000953,0.000953
74,328.718,0.64035,0.3959,0.92224,0.99647,0.99918,0.995,0.84853,0.63742,0.33977,0.91389,0.000948875,0.000948875,0.000948875
75,332.969,0.63148,0.38514,0.91988,0.99722,1,0.995,0.84888,0.62423,0.33921,0.91941,0.00094475,0.00094475,0.00094475
76,337.399,0.64325,0.3946,0.93029,0.99724,1,0.995,0.8449,0.63126,0.34105,0.91768,0.000940625,0.000940625,0.000940625
77,341.802,0.6166,0.38119,0.91968,0.99665,1,0.995,0.85736,0.62227,0.33197,0.92372,0.0009365,0.0009365,0.0009365
78,346.091,0.62398,0.37593,0.91731,0.99748,1,0.995,0.84884,0.64536,0.3313,0.92976,0.000932375,0.000932375,0.000932375
79,350.423,0.64378,0.37972,0.92865,0.99583,1,0.995,0.8515,0.6368,0.34757,0.92418,0.00092825,0.00092825,0.00092825
80,354.772,0.64092,0.38888,0.93757,0.99711,1,0.995,0.8487,0.62423,0.31361,0.91858,0.000924125,0.000924125,0.000924125
81,359.142,0.63763,0.37955,0.92509,0.99789,1,0.995,0.8521,0.636,0.32336,0.92134,0.00092,0.00092,0.00092
82,363.38,0.62883,0.3789,0.91782,0.99787,1,0.995,0.84302,0.63888,0.33113,0.91624,0.000915875,0.000915875,0.000915875
83,367.77,0.63808,0.37452,0.92294,0.99719,1,0.995,0.8513,0.64421,0.35859,0.91781,0.00091175,0.00091175,0.00091175
84,372.051,0.61642,0.36143,0.92005,0.99753,1,0.995,0.84911,0.63983,0.39343,0.92357,0.000907625,0.000907625,0.000907625
85,376.331,0.6481,0.37935,0.92088,0.99803,1,0.995,0.84694,0.65054,0.355,0.93008,0.0009035,0.0009035,0.0009035
86,380.553,0.64292,0.38041,0.94049,0.99788,1,0.995,0.84868,0.64572,0.32476,0.92224,0.000899375,0.000899375,0.000899375
87,384.88,0.62322,0.36472,0.92258,0.99689,1,0.995,0.84314,0.65405,0.32906,0.92788,0.00089525,0.00089525,0.00089525
88,389.151,0.61954,0.36751,0.9224,0.99699,1,0.995,0.83443,0.67922,0.32702,0.94774,0.000891125,0.000891125,0.000891125
89,393.419,0.62736,0.35988,0.92733,0.99684,1,0.995,0.84698,0.64736,0.31876,0.92547,0.000887,0.000887,0.000887
90,397.664,0.63334,0.36732,0.92263,0.99759,1,0.995,0.84842,0.65517,0.31342,0.93007,0.000882875,0.000882875,0.000882875
91,401.955,0.62488,0.35929,0.91783,0.99806,1,0.995,0.84443,0.66436,0.31477,0.9469,0.00087875,0.00087875,0.00087875
92,406.261,0.64158,0.36289,0.92544,0.9969,1,0.995,0.83861,0.6849,0.32468,0.95145,0.000874625,0.000874625,0.000874625
93,410.559,0.625,0.35668,0.91456,0.99624,0.99992,0.995,0.85783,0.64066,0.30806,0.92412,0.0008705,0.0008705,0.0008705
94,414.869,0.63095,0.35693,0.91749,0.99641,0.99931,0.995,0.85845,0.62723,0.31019,0.91308,0.000866375,0.000866375,0.000866375
95,419.156,0.61308,0.35458,0.91288,0.99673,1,0.995,0.86252,0.6321,0.31357,0.9158,0.00086225,0.00086225,0.00086225
96,423.45,0.61595,0.35243,0.91599,0.99665,1,0.995,0.8572,0.64031,0.31363,0.921,0.000858125,0.000858125,0.000858125
97,427.734,0.63138,0.35478,0.9274,0.9976,1,0.995,0.85937,0.63292,0.30507,0.91595,0.000854,0.000854,0.000854
98,431.986,0.61188,0.35,0.91792,0.99601,1,0.995,0.85542,0.62183,0.31152,0.91425,0.000849875,0.000849875,0.000849875
99,436.226,0.61445,0.3575,0.9149,0.99771,1,0.995,0.85837,0.62562,0.30281,0.91929,0.00084575,0.00084575,0.00084575
100,440.511,0.61172,0.35032,0.9216,0.99794,1,0.995,0.85726,0.62653,0.30037,0.92343,0.000841625,0.000841625,0.000841625
101,444.754,0.59689,0.33929,0.91163,0.99767,1,0.995,0.849,0.63818,0.30857,0.92838,0.0008375,0.0008375,0.0008375
102,448.95,0.6225,0.34741,0.91974,0.9978,1,0.995,0.85244,0.61972,0.29981,0.91939,0.000833375,0.000833375,0.000833375
103,453.173,0.61539,0.34609,0.92104,0.99148,0.99967,0.995,0.83517,0.63922,0.32236,0.92484,0.00082925,0.00082925,0.00082925
104,457.39,0.61356,0.34528,0.91122,0.99054,0.99923,0.995,0.8395,0.64674,0.31757,0.92285,0.000825125,0.000825125,0.000825125
105,461.602,0.60055,0.34221,0.91101,0.99685,1,0.995,0.83607,0.65797,0.31661,0.91879,0.000821,0.000821,0.000821
106,465.826,0.59929,0.34559,0.90819,0.99735,1,0.995,0.84322,0.6421,0.3071,0.92005,0.000816875,0.000816875,0.000816875
107,470.074,0.61631,0.33922,0.91875,0.99345,0.99992,0.995,0.85126,0.63502,0.3172,0.92018,0.00081275,0.00081275,0.00081275
108,474.323,0.62085,0.34898,0.92131,0.99112,1,0.995,0.85004,0.6335,0.31739,0.92067,0.000808625,0.000808625,0.000808625
109,478.588,0.60422,0.34029,0.91268,0.99745,1,0.995,0.84641,0.6363,0.31239,0.92122,0.0008045,0.0008045,0.0008045
110,482.876,0.6075,0.3446,0.93072,0.99622,1,0.995,0.84772,0.62454,0.30529,0.92289,0.000800375,0.000800375,0.000800375
111,487.076,0.58944,0.33759,0.91669,0.99608,1,0.995,0.85969,0.62733,0.2955,0.92546,0.00079625,0.00079625,0.00079625
112,491.367,0.58252,0.33495,0.90762,0.99763,1,0.995,0.8564,0.62467,0.29851,0.92425,0.000792125,0.000792125,0.000792125
113,495.615,0.60049,0.3445,0.92106,0.9939,1,0.995,0.85085,0.64089,0.30717,0.93518,0.000788,0.000788,0.000788
114,499.827,0.58299,0.33171,0.90994,0.99659,1,0.995,0.8505,0.6287,0.28567,0.93116,0.000783875,0.000783875,0.000783875
115,504.123,0.59837,0.33521,0.92159,0.99756,1,0.995,0.8482,0.63904,0.28498,0.93428,0.00077975,0.00077975,0.00077975
116,508.35,0.59229,0.33014,0.91135,0.99325,0.99868,0.995,0.85147,0.63414,0.30057,0.92684,0.000775625,0.000775625,0.000775625
117,512.587,0.58922,0.32668,0.9092,0.99678,0.99932,0.995,0.8589,0.63376,0.29414,0.92456,0.0007715,0.0007715,0.0007715
118,517.048,0.58335,0.33243,0.89898,0.99773,1,0.995,0.86107,0.61711,0.2888,0.92504,0.000767375,0.000767375,0.000767375
119,521.305,0.60212,0.33451,0.91677,0.99838,1,0.995,0.86223,0.62045,0.29242,0.92803,0.00076325,0.00076325,0.00076325
120,525.596,0.59253,0.33182,0.90947,0.99712,1,0.995,0.85265,0.63571,0.29897,0.93209,0.000759125,0.000759125,0.000759125
121,529.832,0.57482,0.32682,0.90059,0.99515,1,0.995,0.84887,0.6467,0.3021,0.93882,0.000755,0.000755,0.000755
122,534.104,0.60367,0.32393,0.92088,0.99683,0.99867,0.995,0.86289,0.61608,0.29355,0.92377,0.000750875,0.000750875,0.000750875
123,538.328,0.60122,0.34071,0.91292,0.99793,1,0.995,0.86044,0.64352,0.30402,0.93223,0.00074675,0.00074675,0.00074675
124,542.52,0.59012,0.32446,0.91423,0.99633,1,0.995,0.86289,0.61389,0.28882,0.9183,0.000742625,0.000742625,0.000742625
125,546.733,0.58261,0.32398,0.89987,0.99663,1,0.995,0.855,0.62312,0.29053,0.92557,0.0007385,0.0007385,0.0007385
126,550.999,0.5928,0.32247,0.91817,0.99781,1,0.995,0.85199,0.63685,0.2959,0.93343,0.000734375,0.000734375,0.000734375
127,555.492,0.58328,0.31636,0.90383,0.99839,1,0.995,0.85625,0.63003,0.28866,0.92792,0.00073025,0.00073025,0.00073025
128,559.715,0.57426,0.31115,0.90061,0.99773,1,0.995,0.85973,0.62565,0.28406,0.92457,0.000726125,0.000726125,0.000726125
129,563.993,0.58378,0.31604,0.91315,0.99721,1,0.995,0.84987,0.6336,0.28785,0.92777,0.000722,0.000722,0.000722
130,568.241,0.56813,0.31347,0.90907,0.99497,1,0.995,0.84466,0.63527,0.30136,0.92537,0.000717875,0.000717875,0.000717875
131,572.483,0.57071,0.31442,0.90041,0.99597,1,0.995,0.85115,0.63465,0.28153,0.92627,0.00071375,0.00071375,0.00071375
132,576.826,0.58127,0.31722,0.9045,0.99744,0.99613,0.995,0.85401,0.61873,0.27563,0.91513,0.000709625,0.000709625,0.000709625
133,581.06,0.57132,0.31658,0.90046,0.99747,0.99973,0.995,0.85632,0.61069,0.27778,0.90951,0.0007055,0.0007055,0.0007055
134,585.361,0.55725,0.31201,0.90239,0.99627,1,0.995,0.85787,0.61726,0.28621,0.91407,0.000701375,0.000701375,0.000701375
135,589.649,0.57928,0.31475,0.90579,0.99654,1,0.995,0.85923,0.61853,0.2832,0.92128,0.00069725,0.00069725,0.00069725
136,593.937,0.57475,0.30466,0.90387,0.99785,1,0.995,0.85981,0.61382,0.2837,0.91891,0.000693125,0.000693125,0.000693125
137,598.215,0.56718,0.30891,0.90387,0.9981,1,0.995,0.85682,0.60568,0.27328,0.91406,0.000689,0.000689,0.000689
138,602.391,0.5531,0.30525,0.9011,0.99688,1,0.995,0.86721,0.5962,0.27194,0.90515,0.000684875,0.000684875,0.000684875
139,606.679,0.57294,0.30551,0.90874,0.99702,1,0.995,0.85955,0.61179,0.28102,0.91056,0.00068075,0.00068075,0.00068075
140,610.936,0.5668,0.30462,0.9065,0.99691,1,0.995,0.86691,0.6145,0.28839,0.90993,0.000676625,0.000676625,0.000676625
141,615.179,0.5733,0.30875,0.9079,0.99752,1,0.995,0.86285,0.61581,0.28346,0.91026,0.0006725,0.0006725,0.0006725
142,619.421,0.5588,0.30356,0.90797,0.99771,1,0.995,0.86101,0.62872,0.28387,0.91747,0.000668375,0.000668375,0.000668375
143,623.705,0.56712,0.30498,0.89783,0.99817,1,0.995,0.86745,0.60658,0.27598,0.90947,0.00066425,0.00066425,0.00066425
144,628.075,0.56781,0.30283,0.90585,0.99765,1,0.995,0.85855,0.63441,0.2807,0.91938,0.000660125,0.000660125,0.000660125
145,632.411,0.55919,0.30059,0.89879,0.99525,1,0.995,0.85704,0.62738,0.2759,0.92371,0.000656,0.000656,0.000656
146,636.716,0.56854,0.30857,0.91263,0.98453,0.99724,0.995,0.84987,0.62907,0.29781,0.92135,0.000651875,0.000651875,0.000651875
147,641.066,0.57641,0.3084,0.90973,0.97461,0.98908,0.99264,0.83495,0.65885,0.33553,0.92301,0.00064775,0.00064775,0.00064775
148,645.315,0.56775,0.31144,0.90469,0.98408,0.99573,0.995,0.85138,0.64041,0.31416,0.91875,0.000643625,0.000643625,0.000643625
149,649.694,0.54419,0.29808,0.89318,0.99689,1,0.995,0.85123,0.63445,0.28506,0.91458,0.0006395,0.0006395,0.0006395
150,654.047,0.57102,0.31181,0.90985,0.99767,1,0.995,0.861,0.62912,0.29144,0.91467,0.000635375,0.000635375,0.000635375
151,658.327,0.56215,0.29838,0.89611,0.99526,1,0.995,0.84677,0.67032,0.29504,0.94237,0.00063125,0.00063125,0.00063125
152,662.61,0.57574,0.30646,0.91168,0.99447,1,0.995,0.85632,0.62796,0.28402,0.91687,0.000627125,0.000627125,0.000627125
153,666.86,0.5748,0.30928,0.90801,0.99501,1,0.995,0.85988,0.65262,0.28957,0.92811,0.000623,0.000623,0.000623
154,671.21,0.5633,0.29961,0.89408,0.99739,1,0.995,0.86827,0.62548,0.27771,0.9209,0.000618875,0.000618875,0.000618875
155,675.541,0.54434,0.29136,0.89523,0.99742,1,0.995,0.86199,0.63161,0.27507,0.92912,0.00061475,0.00061475,0.00061475
156,679.84,0.55504,0.29911,0.9098,0.99788,1,0.995,0.86627,0.61411,0.2675,0.92601,0.000610625,0.000610625,0.000610625
157,684.1,0.54266,0.29653,0.8991,0.99594,1,0.995,0.85975,0.63161,0.26925,0.93227,0.0006065,0.0006065,0.0006065
158,688.428,0.54186,0.28745,0.89574,0.99556,0.99288,0.995,0.85719,0.63796,0.27462,0.93863,0.000602375,0.000602375,0.000602375
159,692.64,0.55446,0.29484,0.89819,0.99831,0.99381,0.995,0.85744,0.64689,0.27645,0.94274,0.00059825,0.00059825,0.00059825
160,696.877,0.54278,0.28897,0.9061,0.9956,0.99907,0.995,0.85711,0.62396,0.26445,0.92856,0.000594125,0.000594125,0.000594125
161,701.119,0.53841,0.28979,0.90122,0.99781,0.99351,0.995,0.84752,0.64593,0.27116,0.93279,0.00059,0.00059,0.00059
162,705.412,0.54849,0.29202,0.89782,0.99745,0.99345,0.995,0.85949,0.64306,0.27912,0.92684,0.000585875,0.000585875,0.000585875
163,709.719,0.5311,0.29215,0.89727,0.99772,0.99299,0.995,0.85684,0.6495,0.28289,0.91933,0.00058175,0.00058175,0.00058175
164,714.03,0.53332,0.28766,0.89564,0.99675,0.99394,0.995,0.858,0.64564,0.27612,0.91383,0.000577625,0.000577625,0.000577625
165,718.235,0.54602,0.28738,0.89509,0.99705,1,0.995,0.85446,0.66643,0.28037,0.92585,0.0005735,0.0005735,0.0005735
166,722.492,0.56215,0.29859,0.90144,0.99791,1,0.995,0.85123,0.64528,0.27254,0.91867,0.000569375,0.000569375,0.000569375
167,726.687,0.5464,0.29217,0.90026,0.99709,1,0.995,0.85098,0.63789,0.27529,0.92064,0.00056525,0.00056525,0.00056525
168,730.972,0.52453,0.29239,0.88991,0.99659,1,0.995,0.85578,0.62289,0.26942,0.92263,0.000561125,0.000561125,0.000561125
169,735.196,0.53674,0.28475,0.90188,0.99478,0.99901,0.995,0.85832,0.64042,0.27313,0.92753,0.000557,0.000557,0.000557
170,739.476,0.52458,0.27965,0.88914,0.99795,0.99286,0.995,0.86177,0.61454,0.26226,0.91673,0.000552875,0.000552875,0.000552875
171,743.804,0.53658,0.29013,0.89117,0.99407,0.9989,0.995,0.85877,0.6354,0.26889,0.92537,0.00054875,0.00054875,0.00054875
172,748.121,0.54372,0.29377,0.89051,0.99567,0.99989,0.995,0.87256,0.61772,0.26742,0.92321,0.000544625,0.000544625,0.000544625
173,752.415,0.54003,0.28696,0.89678,0.99601,1,0.995,0.86852,0.62673,0.27729,0.92487,0.0005405,0.0005405,0.0005405
174,756.72,0.53302,0.28645,0.89791,0.9969,1,0.995,0.86063,0.62016,0.27794,0.91323,0.000536375,0.000536375,0.000536375
175,760.948,0.53326,0.2883,0.89073,0.99782,0.99934,0.995,0.85644,0.6232,0.28484,0.89821,0.00053225,0.00053225,0.00053225
176,765.15,0.52544,0.28913,0.8875,0.99694,1,0.995,0.86268,0.60855,0.27145,0.89209,0.000528125,0.000528125,0.000528125
177,769.334,0.5311,0.28717,0.89146,0.99647,1,0.995,0.85614,0.61961,0.28104,0.8993,0.000524,0.000524,0.000524
178,773.578,0.51818,0.28492,0.88994,0.99758,1,0.995,0.85812,0.62901,0.27987,0.90111,0.000519875,0.000519875,0.000519875
179,777.823,0.5399,0.28631,0.89882,0.99839,1,0.995,0.86286,0.63372,0.27582,0.90409,0.00051575,0.00051575,0.00051575
180,782.095,0.52208,0.28052,0.88985,0.9982,1,0.995,0.86404,0.62208,0.26699,0.90922,0.000511625,0.000511625,0.000511625
181,786.363,0.5162,0.28153,0.88502,0.99821,1,0.995,0.86589,0.63152,0.2696,0.91738,0.0005075,0.0005075,0.0005075
182,790.559,0.52813,0.28228,0.89318,0.99817,1,0.995,0.86505,0.64016,0.27373,0.92258,0.000503375,0.000503375,0.000503375
183,794.882,0.51731,0.27839,0.88386,0.9981,1,0.995,0.86265,0.64471,0.26037,0.92537,0.00049925,0.00049925,0.00049925
184,799.138,0.51441,0.27135,0.87736,0.99796,1,0.995,0.86172,0.6232,0.25372,0.92224,0.000495125,0.000495125,0.000495125
185,803.491,0.50916,0.27176,0.88396,0.99786,1,0.995,0.86307,0.63712,0.26319,0.92305,0.000491,0.000491,0.000491
186,807.723,0.53476,0.27823,0.90501,0.99733,1,0.995,0.86398,0.62629,0.25708,0.91577,0.000486875,0.000486875,0.000486875
187,811.908,0.52313,0.27237,0.88774,0.99693,1,0.995,0.85746,0.62262,0.26095,0.91677,0.00048275,0.00048275,0.00048275
188,816.195,0.51906,0.27144,0.88372,0.99753,1,0.995,0.86641,0.62813,0.2566,0.92362,0.000478625,0.000478625,0.000478625
189,820.47,0.51744,0.26921,0.89254,0.99718,1,0.995,0.85912,0.64462,0.26717,0.93106,0.0004745,0.0004745,0.0004745
190,824.668,0.51567,0.27414,0.89006,0.99715,1,0.995,0.86508,0.64543,0.2669,0.92968,0.000470375,0.000470375,0.000470375
191,828.905,0.51573,0.28228,0.88815,0.99729,1,0.995,0.87024,0.6482,0.26942,0.92964,0.00046625,0.00046625,0.00046625
192,833.179,0.50833,0.27649,0.88717,0.99679,1,0.995,0.86745,0.64349,0.2741,0.93212,0.000462125,0.000462125,0.000462125
